date,scenario,forecast_energy_kWh,relevant_error_quantile_kWh,critical_fractile_q_star,raw_commitment_kWh,committed_energy_kWh,commitment_as_pct_forecast,actual_energy_kWh_ex_post,shortfall_kWh_ex_post,surplus_kWh_ex_post,imbalance_cost_KSh,illustrative_energy_revenue_KSh,net_economic_outcome_KSh,capacity_cap_used
2025-03-01,Conservative,295.63996999999995,-1.8047970125000141,0.25,293.83517298749996,293.83517298749996,99.38952875265818,280.6562824166666,13.178890570833346,0.0,197.6833585625002,4407.527594812499,4209.844236249999,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-01,Balanced,295.63996999999995,12.226911475000001,0.5,307.86688147499996,307.86688147499996,104.13574371388282,280.6562824166666,27.210599058333344,0.0,272.10599058333344,4618.003222124999,4345.897231541666,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-01,Aggressive,295.63996999999995,27.118969416666687,0.75,322.75893941666664,322.75893941666664,109.1729712381809,280.6562824166666,42.10265700000002,0.0,210.5132850000001,4841.38409125,4630.87080625,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-02,Conservative,270.16356,-1.8047970125000141,0.25,268.35876298750003,268.35876298750003,99.33196134500892,258.80473355833334,9.55402942916669,0.0,143.31044143750034,4025.3814448125004,3882.071003375,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-02,Balanced,270.16356,12.226911475000001,0.5,282.390471475,282.390471475,104.52574413625582,258.80473355833334,23.585737916666687,0.0,235.85737916666687,4235.857072125001,3999.999692958334,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-02,Aggressive,270.16356,27.118969416666687,0.75,297.2825294166667,297.2825294166667,110.03798196050818,258.80473355833334,38.477795858333366,0.0,192.38897929166683,4459.23794125,4266.848961958333,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-03,Conservative,266.31425,-1.8047970125000141,0.25,264.5094529875,264.5094529875,99.32230550468104,301.075138,0.0,36.565685012499955,182.82842506249978,3967.6417948125004,3784.8133697500007,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-03,Balanced,266.31425,12.226911475000001,0.5,278.541161475,278.541161475,104.59115930709679,301.075138,0.0,22.533976524999957,225.33976524999957,4178.117422125,3952.7776568750005,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-03,Aggressive,266.31425,27.118969416666687,0.75,293.4332194166667,293.4332194166667,110.1830710961455,301.075138,0.0,7.641918583333279,114.62877874999919,4401.498291250001,4286.869512500001,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-04,Conservative,272.99521999999996,-1.8047970125000141,0.25,271.19042298749997,271.19042298749997,99.33889061775515,296.1045818333333,0.0,24.914158845833356,124.57079422916678,4067.8563448124996,3943.2855505833327,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
