analysis,observations,MBE_W,error_std_W,forecast_mean_W,relative_error_mean_pct,relative_error_median_pct,error_q0.025,error_q0.05,error_q0.1,error_q0.9,error_q0.95,error_q0.975,empirical_80%_lower_W,empirical_80%_upper_W,normal_80%_lower_W,normal_80%_upper_W,empirical_90%_lower_W,empirical_90%_upper_W,normal_90%_lower_W,normal_90%_upper_W,empirical_95%_lower_W,empirical_95%_upper_W,normal_95%_lower_W,normal_95%_upper_W
primary_genuine_march_week1_daytime,91,-4268.206493499633,28911.605878483428,157404.43909254944,-5.619041796719422,-0.8688889612416995,-61460.5290625,-46452.74152500003,-29929.10520833332,20422.988083333446,26868.7366541667,33852.810249999995,-29929.10520833332,20422.988083333446,-41319.921265639474,32783.50827864021,-46452.74152500003,26868.7366541667,-51823.56550450426,43287.152517505,-61460.5290625,33852.810249999995,-60933.913197515525,52397.500210516264
supplementary_9_origin_oof_daytime,819,8859.769709428421,44525.99833727785,103506.23644992516,17.846708195593543,5.686674613989415,-81454.00984374998,-63208.262715326615,-38911.466708333326,65377.06814166669,91139.7257916666,110826.55249999993,-38911.466708333326,65377.06814166669,-48202.594701307346,65922.13412016419,-63208.262715326615,91139.7257916666,-64378.97894923706,82098.51836809391,-81454.00984374998,110826.55249999993,-78409.58409569603,96129.12351455288
