rank,model,evaluation,daytime_definition,observations,MAE_W,RMSE_W,sMAPE_pct,R2
1,XGBoost,genuine March Week 1 test,06:00-18:59,91,16510.311261223047,29067.38832001459,27.093948187567037,0.9199153344754671
2,XGBoost-SARIMAX Hybrid,genuine March Week 1 test,06:00-18:59,91,26772.444094910894,40689.214312729506,36.29662767108638,0.8430736227522422
3,SARIMAX,genuine March Week 1 test,06:00-18:59,91,39894.169421578976,51395.77795586051,53.54563465008824,0.7496242695305657
4,SARIMAX-XGBoost Hybrid,genuine March Week 1 test,06:00-18:59,91,70032.49598494654,85510.66879587535,58.34935259610599,0.3069286486612939
5,Prophet,genuine March Week 1 test,06:00-18:59,91,94255.92696609549,97489.576845099,112.80915252859893,0.09914745113813594
