timestamp,actual_W,Prophet
2025-03-01 06:00:00,34.166666666666664,-79205.70852053308
2025-03-01 07:00:00,27537.078575000003,-41487.29169138225
2025-03-01 08:00:00,89419.80550833333,13420.053365985244
2025-03-01 09:00:00,130325.58429166664,64905.775972315285
2025-03-01 10:00:00,239775.11479166665,158861.19788995018
2025-03-01 11:00:00,295278.8285,187216.50997791375
2025-03-01 12:00:00,280656.2824166666,173542.54471980978
2025-03-01 13:00:00,115807.12208333332,178851.73185509385
2025-03-01 14:00:00,156780.42474999998,131235.5642542388
2025-03-01 15:00:00,178162.69999999998,71206.13630721348
2025-03-01 16:00:00,147320.93637500002,23938.03913176781
2025-03-01 17:00:00,61816.33200000002,-32723.32568183012
2025-03-01 18:00:00,6594.37267,-59432.68796169891
